codigo_mcc,descripcion,descripcion_combinada,descripcion_usda,descripcion_irs,reportable_irs
742,Veterinary Services,Veterinary Services,Veterinary Services,Veterinary Services,SÍ
763,Agricultural Co-operatives,Agricultural Co-operatives,Agricultural Co-operatives,Agricultural Cooperative,SÍ
780,"Horticultural Services, Landscaping Services","Horticultural Services, Landscaping Services",Horticultural Services,Landscaping Services,SÍ
1520,General Contractors-Residential and Commercial,General Contractors-Residential and Commercial,General Contractors-Residential and Commercial,General Contractors,SÍ
1711,"Air Conditioning Contractors – Sales and Installation, Heating Contractors – Sales, Service, Installation","Air Conditioning Contractors – Sales and Installation, Heating Contractors – Sales, Service, Installation",Air Conditioning Contractors – Sales and Installation,"Heating, Plumbing, A/C",SÍ
1731,Electrical Contractors,Electrical Contractors,Electrical Contractors,Electrical Contractors,SÍ
1740,"Insulation – Contractors, Masonry, Stonework Contractors, Plastering Contractors, Stonework and Masonry Contractors, Tile Settings Contractors","Insulation – Contractors, Masonry, Stonework Contractors, Plastering Contractors, Stonework and Masonry Contractors, Tile Settings Contractors",Insulation – Contractors,"Masonry, Stonework, and Plaster",SÍ
1750,Carpentry Contractors,Carpentry Contractors,Carpentry Contractors,Carpentry Contractors,SÍ
1761,"Roofing – Contractors, Sheet Metal Work – Contractors, Siding – Contractors","Roofing – Contractors, Sheet Metal Work – Contractors, Siding – Contractors",Roofing - Contractors,"Roofing/Siding, Sheet Metal",SÍ
1771,Contractors – Concrete Work,Contractors – Concrete Work,Contractors – Concrete Work,Concrete Work Contractors,SÍ
1799,"Contractors – Special Trade, Not Elsewhere Classified","Contractors – Special Trade, Not Elsewhere Classified","Contractors – Special Trade, Not Elsewhere Classified",Special Trade Contractors,SÍ
2741,Miscellaneous Publishing and Printing,Miscellaneous Publishing and Printing,Miscellaneous Publishing and Printing,Miscellaneous Publishing and Printing,SÍ
2791,"Typesetting, Plate Making, & Related Services","Typesetting, Plate Making, & Related Services","Typesetting, Plate Making, & Related Services","Typesetting, Plate Making, and Related Services",SÍ
2842,"Specialty Cleaning, Polishing, and Sanitation Preparations","Specialty Cleaning, Polishing, and Sanitation Preparations","Specialty Cleaning, Polishing, and Sanitation Preparations",Specialty Cleaning,SÍ
3000,UNITED AIRLINES,UNITED AIRLINES,UNITED AIRLINES,Airlines,SÍ
3001,AMERICAN AIRLINES,AMERICAN AIRLINES,AMERICAN AIRLINES,Airlines,SÍ
3002,PAN AMERICAN,PAN AMERICAN,PAN AMERICAN,Airlines,SÍ
3003,Airlines,Airlines,,Airlines,SÍ
3004,TRANS WORLD AIRLINES,TRANS WORLD AIRLINES,TRANS WORLD AIRLINES,Airlines,SÍ
3005,BRITISH AIRWAYS,BRITISH AIRWAYS,BRITISH AIRWAYS,Airlines,SÍ
3006,JAPAN AIRLINES,JAPAN AIRLINES,JAPAN AIRLINES,Airlines,SÍ
3007,AIR FRANCE,AIR FRANCE,AIR FRANCE,Airlines,SÍ
3008,LUFTHANSA,LUFTHANSA,LUFTHANSA,Airlines,SÍ
3009,AIR CANADA,AIR CANADA,AIR CANADA,Airlines,SÍ
3010,KLM (ROYAL DUTCH AIRLINES),KLM (ROYAL DUTCH AIRLINES),KLM (ROYAL DUTCH AIRLINES),Airlines,SÍ
3011,AEORFLOT,AEORFLOT,AEORFLOT,Airlines,SÍ
3012,QANTAS,QANTAS,QANTAS,Airlines,SÍ
3013,ALITALIA,ALITALIA,ALITALIA,Airlines,SÍ
3014,SAUDIA ARABIAN AIRLINES,SAUDIA ARABIAN AIRLINES,SAUDIA ARABIAN AIRLINES,Airlines,SÍ
3015,SWISSAIR,SWISSAIR,SWISSAIR,Airlines,SÍ
3016,SAS,SAS,SAS,Airlines,SÍ
3017,SOUTH AFRICAN AIRWAYS,SOUTH AFRICAN AIRWAYS,SOUTH AFRICAN AIRWAYS,Airlines,SÍ
3018,VARIG (BRAZIL),VARIG (BRAZIL),VARIG (BRAZIL),Airlines,SÍ
3019,Airlines,Airlines,,Airlines,SÍ
3020,AIR-INDIA,AIR-INDIA,AIR-INDIA,Airlines,SÍ
3021,AIR ALGERIE,AIR ALGERIE,AIR ALGERIE,Airlines,SÍ
3022,PHILIPPINE AIRLINES,PHILIPPINE AIRLINES,PHILIPPINE AIRLINES,Airlines,SÍ
3023,MEXICANA,MEXICANA,MEXICANA,Airlines,SÍ
3024,PAKISTAN INTERNATIONAL,PAKISTAN INTERNATIONAL,PAKISTAN INTERNATIONAL,Airlines,SÍ
3025,AIR NEW ZEALAND,AIR NEW ZEALAND,AIR NEW ZEALAND,Airlines,SÍ
3026,Airlines,Airlines,,Airlines,SÍ
3027,UTA/INTERAIR,UTA/INTERAIR,UTA/INTERAIR,Airlines,SÍ
3028,AIR MALTA,AIR MALTA,AIR MALTA,Airlines,SÍ
3029,SABENA,SABENA,SABENA,Airlines,SÍ
3030,AEROLINEAS ARGENTINAS,AEROLINEAS ARGENTINAS,AEROLINEAS ARGENTINAS,Airlines,SÍ
3031,OLYMPIC AIRWAYS,OLYMPIC AIRWAYS,OLYMPIC AIRWAYS,Airlines,SÍ
3032,EL AL,EL AL,EL AL,Airlines,SÍ
3033,ANSETT AIRLINES,ANSETT AIRLINES,ANSETT AIRLINES,Airlines,SÍ
3034,AUSTRAINLIAN AIRLINES,AUSTRAINLIAN AIRLINES,AUSTRAINLIAN AIRLINES,Airlines,SÍ
3035,TAP (PORTUGAL),TAP (PORTUGAL),TAP (PORTUGAL),Airlines,SÍ
3036,VASP (BRAZIL),VASP (BRAZIL),VASP (BRAZIL),Airlines,SÍ
3037,EGYPTAIR,EGYPTAIR,EGYPTAIR,Airlines,SÍ
3038,KUWAIT AIRLINES,KUWAIT AIRLINES,KUWAIT AIRLINES,Airlines,SÍ
3039,AVIANCA,AVIANCA,AVIANCA,Airlines,SÍ
3040,GULF AIR (BAHRAIN),GULF AIR (BAHRAIN),GULF AIR (BAHRAIN),Airlines,SÍ
3041,BALKAN-BULGARIAN AIRLINES,BALKAN-BULGARIAN AIRLINES,BALKAN-BULGARIAN AIRLINES,Airlines,SÍ
3042,FINNAIR,FINNAIR,FINNAIR,Airlines,SÍ
3043,AER LINGUS,AER LINGUS,AER LINGUS,Airlines,SÍ
3044,AIR LANKA,AIR LANKA,AIR LANKA,Airlines,SÍ
3045,NIGERIA AIRWAYS,NIGERIA AIRWAYS,NIGERIA AIRWAYS,Airlines,SÍ
3046,CRUZEIRO DO SUL (BRAZIJ),CRUZEIRO DO SUL (BRAZIJ),CRUZEIRO DO SUL (BRAZIJ),Airlines,SÍ
3047,THY (TURKEY),THY (TURKEY),THY (TURKEY),Airlines,SÍ
3048,ROYAL AIR MAROC,ROYAL AIR MAROC,ROYAL AIR MAROC,Airlines,SÍ
3049,TUNIS AIR,TUNIS AIR,TUNIS AIR,Airlines,SÍ
3050,ICELANDAIR,ICELANDAIR,ICELANDAIR,Airlines,SÍ
3051,AUSTRIAN AIRLINES,AUSTRIAN AIRLINES,AUSTRIAN AIRLINES,Airlines,SÍ
3052,LANCHILE,LANCHILE,LANCHILE,Airlines,SÍ
3053,AVIACO (SPAIN),AVIACO (SPAIN),AVIACO (SPAIN),Airlines,SÍ
3054,LADECO (CHILE),LADECO (CHILE),LADECO (CHILE),Airlines,SÍ
3055,LAB (BOLIVIA),LAB (BOLIVIA),LAB (BOLIVIA),Airlines,SÍ
3056,QUEBECAIRE,QUEBECAIRE,QUEBECAIRE,Airlines,SÍ
3057,EASTWEST AIRLINES (AUSTRALIA),EASTWEST AIRLINES (AUSTRALIA),EASTWEST AIRLINES (AUSTRALIA),Airlines,SÍ
3058,DELTA,DELTA,DELTA,Airlines,SÍ
3059,Airlines,Airlines,,Airlines,SÍ
3060,NORTHWEST,NORTHWEST,NORTHWEST,Airlines,SÍ
3061,CONTINENTAL,CONTINENTAL,CONTINENTAL,Airlines,SÍ
3062,WESTERN,WESTERN,WESTERN,Airlines,SÍ
3063,US AIR,US AIR,US AIR,Airlines,SÍ
3064,Airlines,Airlines,,Airlines,SÍ
3065,AIRINTER,AIRINTER,AIRINTER,Airlines,SÍ
3066,SOUTHWEST,SOUTHWEST,SOUTHWEST,Airlines,SÍ
3067,Airlines,Airlines,,Airlines,SÍ
3068,Airlines,Airlines,,Airlines,SÍ
3069,SUN COUNTRY AIRLINES,SUN COUNTRY AIRLINES,SUN COUNTRY AIRLINES,Airlines,SÍ
3070,Airlines,Airlines,,Airlines,SÍ
3071,AIR BRITISH COLUBIA,AIR BRITISH COLUBIA,AIR BRITISH COLUBIA,Airlines,SÍ
3072,Airlines,Airlines,,Airlines,SÍ
3073,Airlines,Airlines,,Airlines,SÍ
3074,Airlines,Airlines,,Airlines,SÍ
3075,SINGAPORE AIRLINES,SINGAPORE AIRLINES,SINGAPORE AIRLINES,Airlines,SÍ
3076,AEROMEXICO,AEROMEXICO,AEROMEXICO,Airlines,SÍ
3077,THAI AIRWAYS,THAI AIRWAYS,THAI AIRWAYS,Airlines,SÍ
3078,CHINA AIRLINES,CHINA AIRLINES,CHINA AIRLINES,Airlines,SÍ
3079,Airlines,Airlines,,Airlines,SÍ
3080,Airlines,Airlines,,Airlines,SÍ
3081,NORDAIR,NORDAIR,NORDAIR,Airlines,SÍ
3082,KOREAN AIRLINES,KOREAN AIRLINES,KOREAN AIRLINES,Airlines,SÍ
3083,AIR AFRIGUE,AIR AFRIGUE,AIR AFRIGUE,Airlines,SÍ
3084,EVA AIRLINES,EVA AIRLINES,EVA AIRLINES,Airlines,SÍ
3085,"MIDWEST EXPRESS AIRLINES, INC.","MIDWEST EXPRESS AIRLINES, INC.","MIDWEST EXPRESS AIRLINES, INC.",Airlines,SÍ
3086,Airlines,Airlines,,Airlines,SÍ
3087,METRO AIRLINES,METRO AIRLINES,METRO AIRLINES,Airlines,SÍ
3088,CROATIA AIRLINES,CROATIA AIRLINES,CROATIA AIRLINES,Airlines,SÍ
3089,TRANSAERO,TRANSAERO,TRANSAERO,Airlines,SÍ
3090,Airlines,Airlines,,Airlines,SÍ
3091,Airlines,Airlines,,Airlines,SÍ
3092,Airlines,Airlines,,Airlines,SÍ
3093,Airlines,Airlines,,Airlines,SÍ
3094,ZAMBIA AIRWAYS,ZAMBIA AIRWAYS,ZAMBIA AIRWAYS,Airlines,SÍ
3095,Airlines,Airlines,,Airlines,SÍ
3096,AIR ZIMBABWE,AIR ZIMBABWE,AIR ZIMBABWE,Airlines,SÍ
3097,Airlines,Airlines,,Airlines,SÍ
3098,Airlines,Airlines,,Airlines,SÍ
3099,CATHAY PACIFIC,CATHAY PACIFIC,CATHAY PACIFIC,Airlines,SÍ
3100,MALAYSIAN AIRLINE SYSTEM,MALAYSIAN AIRLINE SYSTEM,MALAYSIAN AIRLINE SYSTEM,Airlines,SÍ
3101,Airlines,Airlines,,Airlines,SÍ
3102,IBERIA,IBERIA,IBERIA,Airlines,SÍ
3103,GARUDA (INDONESIA),GARUDA (INDONESIA),GARUDA (INDONESIA),Airlines,SÍ
3104,Airlines,Airlines,,Airlines,SÍ
3105,Airlines,Airlines,,Airlines,SÍ
3106,BRAATHENS S.A.F.E. (NORWAY),BRAATHENS S.A.F.E. (NORWAY),BRAATHENS S.A.F.E. (NORWAY),Airlines,SÍ
3107,Airlines,Airlines,,Airlines,SÍ
3108,Airlines,Airlines,,Airlines,SÍ
3109,Airlines,Airlines,,Airlines,SÍ
3110,WINGS AIRWAYS,WINGS AIRWAYS,WINGS AIRWAYS,Airlines,SÍ
3111,BRITISH MIDLAND,BRITISH MIDLAND,BRITISH MIDLAND,Airlines,SÍ
3112,WINDWARD ISLAND,WINDWARD ISLAND,WINDWARD ISLAND,Airlines,SÍ
3113,Airlines,Airlines,,Airlines,SÍ
3114,Airlines,Airlines,,Airlines,SÍ
3115,Airlines,Airlines,,Airlines,SÍ
3116,Airlines,Airlines,,Airlines,SÍ
3117,VIASA,VIASA,VIASA,Airlines,SÍ
3118,VALLEY AIRLINES,VALLEY AIRLINES,VALLEY AIRLINES,Airlines,SÍ
3119,Airlines,Airlines,,Airlines,SÍ
3120,Airlines,Airlines,,Airlines,SÍ
3121,Airlines,Airlines,,Airlines,SÍ
3122,Airlines,Airlines,,Airlines,SÍ
3123,Airlines,Airlines,,Airlines,SÍ
3124,Airlines,Airlines,,Airlines,SÍ
3125,TAN,TAN,TAN,Airlines,SÍ
3126,TALAIR,TALAIR,TALAIR,Airlines,SÍ
3127,TACA INTERNATIONAL,TACA INTERNATIONAL,TACA INTERNATIONAL,Airlines,SÍ
3128,Airlines,Airlines,,Airlines,SÍ
3129,SURINAM AIRWAYS,SURINAM AIRWAYS,SURINAM AIRWAYS,Airlines,SÍ
3130,SUN WORLD INTERNATIONAL,SUN WORLD INTERNATIONAL,SUN WORLD INTERNATIONAL,Airlines,SÍ
3131,Airlines,Airlines,,Airlines,SÍ
3132,Airlines,Airlines,,Airlines,SÍ
3133,SUNBELT AIRLINES,SUNBELT AIRLINES,SUNBELT AIRLINES,Airlines,SÍ
3134,Airlines,Airlines,,Airlines,SÍ
3135,SUDAN AIRWAYS,SUDAN AIRWAYS,SUDAN AIRWAYS,Airlines,SÍ
3136,Airlines,Airlines,,Airlines,SÍ
3137,SINGLETON,SINGLETON,SINGLETON,Airlines,SÍ
3138,SIMMONS AIRLINES,SIMMONS AIRLINES,SIMMONS AIRLINES,Airlines,SÍ
3139,Airlines,Airlines,,Airlines,SÍ
3140,Airlines,Airlines,,Airlines,SÍ
3141,Airlines,Airlines,,Airlines,SÍ
3142,Airlines,Airlines,,Airlines,SÍ
3143,SCENIC AIRLINES,SCENIC AIRLINES,SCENIC AIRLINES,Airlines,SÍ
3144,VIRGIN ATLANTIC,VIRGIN ATLANTIC,VIRGIN ATLANTIC,Airlines,SÍ
3145,SAN JUAN AIRLINES,SAN JUAN AIRLINES,SAN JUAN AIRLINES,Airlines,SÍ
3146,LUXAIR,LUXAIR,LUXAIR,Airlines,SÍ
3147,Airlines,Airlines,,Airlines,SÍ
3148,Airlines,Airlines,,Airlines,SÍ
3149,Airlines,Airlines,,Airlines,SÍ
3150,Airlines,Airlines,,Airlines,SÍ
3151,AIR ZAIRE,AIR ZAIRE,AIR ZAIRE,Airlines,SÍ
3152,Airlines,Airlines,,Airlines,SÍ
3153,Airlines,Airlines,,Airlines,SÍ
3154,PRINCEVILLE,PRINCEVILLE,PRINCEVILLE,Airlines,SÍ
3155,Airlines,Airlines,,Airlines,SÍ
3156,Airlines,Airlines,,Airlines,SÍ
3157,Airlines,Airlines,,Airlines,SÍ
3158,Airlines,Airlines,,Airlines,SÍ
3159,PBA,PBA,PBA,Airlines,SÍ
3160,Airlines,Airlines,,Airlines,SÍ
3161,ALL NIPPON AIRWAYS,ALL NIPPON AIRWAYS,ALL NIPPON AIRWAYS,Airlines,SÍ
3162,Airlines,Airlines,,Airlines,SÍ
3163,Airlines,Airlines,,Airlines,SÍ
3164,NORONTAIR,NORONTAIR,NORONTAIR,Airlines,SÍ
3165,NEW YORK HELICOPTER,NEW YORK HELICOPTER,NEW YORK HELICOPTER,Airlines,SÍ
3166,Airlines,Airlines,,Airlines,SÍ
3167,Airlines,Airlines,,Airlines,SÍ
3168,Airlines,Airlines,,Airlines,SÍ
3169,Airlines,Airlines,,Airlines,SÍ
3170,NOUNT COOK,NOUNT COOK,NOUNT COOK,Airlines,SÍ
3171,CANADIAN AIRLINES INTERNATIONAL,CANADIAN AIRLINES INTERNATIONAL,CANADIAN AIRLINES INTERNATIONAL,Airlines,SÍ
3172,NATIONAIR,NATIONAIR,NATIONAIR,Airlines,SÍ
3173,Airlines,Airlines,,Airlines,SÍ
3174,Airlines,Airlines,,Airlines,SÍ
3175,Airlines,Airlines,,Airlines,SÍ
3176,METROFLIGHT AIRLINES,METROFLIGHT AIRLINES,METROFLIGHT AIRLINES,Airlines,SÍ
3177,Airlines,Airlines,,Airlines,SÍ
3178,MESA AIR,MESA AIR,MESA AIR,Airlines,SÍ
3179,Airlines,Airlines,,Airlines,SÍ
3180,Airlines,Airlines,,Airlines,SÍ
3181,MALEV,MALEV,MALEV,Airlines,SÍ
3182,LOT (POLAND),LOT (POLAND),LOT (POLAND),Airlines,SÍ
3183,Airlines,Airlines,,Airlines,SÍ
3184,LIAT,LIAT,LIAT,Airlines,SÍ
3185,LAV (VENEZUELA),LAV (VENEZUELA),LAV (VENEZUELA),Airlines,SÍ
3186,LAP (PARAGUAY),LAP (PARAGUAY),LAP (PARAGUAY),Airlines,SÍ
3187,LACSA (COSTA RICA),LACSA (COSTA RICA),LACSA (COSTA RICA),Airlines,SÍ
3188,Airlines,Airlines,,Airlines,SÍ
3189,Airlines,Airlines,,Airlines,SÍ
3190,JUGOSLAV AIR,JUGOSLAV AIR,JUGOSLAV AIR,Airlines,SÍ
3191,ISLAND AIRLINES,ISLAND AIRLINES,ISLAND AIRLINES,Airlines,SÍ
3192,IRAN AIR,IRAN AIR,IRAN AIR,Airlines,SÍ
3193,INDIAN AIRLINES,INDIAN AIRLINES,INDIAN AIRLINES,Airlines,SÍ
3194,Airlines,Airlines,,Airlines,SÍ
3195,Airlines,Airlines,,Airlines,SÍ
3196,HAWAIIAN AIR,HAWAIIAN AIR,HAWAIIAN AIR,Airlines,SÍ
3197,HAVASU AIRLINES,HAVASU AIRLINES,HAVASU AIRLINES,Airlines,SÍ
3198,Airlines,Airlines,,Airlines,SÍ
3199,Airlines,Airlines,,Airlines,SÍ
3200,FUYANA AIRWAYS,FUYANA AIRWAYS,FUYANA AIRWAYS,Airlines,SÍ
3201,Airlines,Airlines,,Airlines,SÍ
3202,Airlines,Airlines,,Airlines,SÍ
3203,GOLDEN PACIFIC AIR,GOLDEN PACIFIC AIR,GOLDEN PACIFIC AIR,Airlines,SÍ
3204,FREEDOM AIR,FREEDOM AIR,FREEDOM AIR,Airlines,SÍ
3205,Airlines,Airlines,,Airlines,SÍ
3206,Airlines,Airlines,,Airlines,SÍ
3207,Airlines,Airlines,,Airlines,SÍ
3208,Airlines,Airlines,,Airlines,SÍ
3209,Airlines,Airlines,,Airlines,SÍ
3210,Airlines,Airlines,,Airlines,SÍ
3211,Airlines,Airlines,,Airlines,SÍ
3212,DOMINICANA,DOMINICANA,DOMINICANA,Airlines,SÍ
3213,Airlines,Airlines,,Airlines,SÍ
3214,Airlines,Airlines,,Airlines,SÍ
3215,DAN AIR SERVICES,DAN AIR SERVICES,DAN AIR SERVICES,Airlines,SÍ
3216,CUMBERLAND AIRLINES,CUMBERLAND AIRLINES,CUMBERLAND AIRLINES,Airlines,SÍ
3217,CSA,CSA,CSA,Airlines,SÍ
3218,CROWN AIR,CROWN AIR,CROWN AIR,Airlines,SÍ
3219,COPA,COPA,COPA,Airlines,SÍ
3220,COMPANIA FAUCETT,COMPANIA FAUCETT,COMPANIA FAUCETT,Airlines,SÍ
3221,TRANSPORTES AEROS MILITARES ECCUATORANOS,TRANSPORTES AEROS MILITARES ECCUATORANOS,TRANSPORTES AEROS MILITARES ECCUATORANOS,Airlines,SÍ
3222,COMMAND AIRWAYS,COMMAND AIRWAYS,COMMAND AIRWAYS,Airlines,SÍ
3223,COMAIR,COMAIR,COMAIR,Airlines,SÍ
3224,Airlines,Airlines,,Airlines,SÍ
3225,Airlines,Airlines,,Airlines,SÍ
3226,Airlines,Airlines,,Airlines,SÍ
3227,Airlines,Airlines,,Airlines,SÍ
3228,CAYMAN AIRWAYS,CAYMAN AIRWAYS,CAYMAN AIRWAYS,Airlines,SÍ
3229,SAETA SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS,SAETA SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS,SAETA SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS,Airlines,SÍ
3230,Airlines,Airlines,,Airlines,SÍ
3231,SASHA SERVICIO AERO DE HONDURAS,SASHA SERVICIO AERO DE HONDURAS,SASHA SERVICIO AERO DE HONDURAS,Airlines,SÍ
3232,Airlines,Airlines,,Airlines,SÍ
3233,CAPITOL AIR,CAPITOL AIR,CAPITOL AIR,Airlines,SÍ
3234,BWIA,BWIA,BWIA,Airlines,SÍ
3235,BROKWAY AIR,BROKWAY AIR,BROKWAY AIR,Airlines,SÍ
3236,Airlines,Airlines,,Airlines,SÍ
3237,Airlines,Airlines,,Airlines,SÍ
3238,BEMIDJI AIRLINES,BEMIDJI AIRLINES,BEMIDJI AIRLINES,Airlines,SÍ
3239,BAR HARBOR AIRLINES,BAR HARBOR AIRLINES,BAR HARBOR AIRLINES,Airlines,SÍ
3240,BAHAMASAIR,BAHAMASAIR,BAHAMASAIR,Airlines,SÍ
3241,AVIATECA (GUATEMALA),AVIATECA (GUATEMALA),AVIATECA (GUATEMALA),Airlines,SÍ
3242,AVENSA,AVENSA,AVENSA,Airlines,SÍ
3243,AUSTRIAN AIR SERVICE,AUSTRIAN AIR SERVICE,AUSTRIAN AIR SERVICE,Airlines,SÍ
3244,Airlines,Airlines,,Airlines,SÍ
3245,Airlines,Airlines,,Airlines,SÍ
3246,Airlines,Airlines,,Airlines,SÍ
3247,Airlines,Airlines,,Airlines,SÍ
3248,Airlines,Airlines,,Airlines,SÍ
3249,Airlines,Airlines,,Airlines,SÍ
3250,Airlines,Airlines,,Airlines,SÍ
3251,ALOHA AIRLINES,ALOHA AIRLINES,ALOHA AIRLINES,Airlines,SÍ
3252,ALM,ALM,ALM,Airlines,SÍ
3253,AMERICA WEST,AMERICA WEST,AMERICA WEST,Airlines,SÍ
3254,TRUMP AIRLINE,TRUMP AIRLINE,TRUMP AIRLINE,Airlines,SÍ
3255,Airlines,Airlines,,Airlines,SÍ
3256,ALASKA AIRLINES,ALASKA AIRLINES,ALASKA AIRLINES,Airlines,SÍ
3257,Airlines,Airlines,,Airlines,SÍ
3258,Airlines,Airlines,,Airlines,SÍ
3259,AMERICAN TRANS AIR,AMERICAN TRANS AIR,AMERICAN TRANS AIR,Airlines,SÍ
3260,Airlines,Airlines,,Airlines,SÍ
3261,AIR CHINA,AIR CHINA,AIR CHINA,Airlines,SÍ
3262,"RENO AIR, INC.","RENO AIR, INC.","RENO AIR, INC.",Airlines,SÍ
3263,Airlines,Airlines,,Airlines,SÍ
3264,Airlines,Airlines,,Airlines,SÍ
3265,Airlines,Airlines,,Airlines,SÍ
3266,AIR SEYCHELLES,AIR SEYCHELLES,AIR SEYCHELLES,Airlines,SÍ
3267,AIR PANAMA,AIR PANAMA,AIR PANAMA,Airlines,SÍ
3268,Airlines,Airlines,,Airlines,SÍ
3269,Airlines,Airlines,,Airlines,SÍ
3270,Airlines,Airlines,,Airlines,SÍ
3271,Airlines,Airlines,,Airlines,SÍ
3272,Airlines,Airlines,,Airlines,SÍ
3273,Airlines,Airlines,,Airlines,SÍ
3274,Airlines,Airlines,,Airlines,SÍ
3275,Airlines,Airlines,,Airlines,SÍ
3276,Airlines,Airlines,,Airlines,SÍ
3277,Airlines,Airlines,,Airlines,SÍ
3278,Airlines,Airlines,,Airlines,SÍ
3279,Airlines,Airlines,,Airlines,SÍ
3280,AIR JAMAICA,AIR JAMAICA,AIR JAMAICA,Airlines,SÍ
3281,Airlines,Airlines,,Airlines,SÍ
3282,AIR DJIBOUTI,AIR DJIBOUTI,AIR DJIBOUTI,Airlines,SÍ
3283,Airlines,Airlines,,Airlines,SÍ
3284,AERO VIRGIN ISLANDS,AERO VIRGIN ISLANDS,AERO VIRGIN ISLANDS,Airlines,SÍ
3285,AERO PERU,AERO PERU,AERO PERU,Airlines,SÍ
3286,AEROLINEAS NICARAGUENSIS,AEROLINEAS NICARAGUENSIS,AEROLINEAS NICARAGUENSIS,Airlines,SÍ
3287,AERO COACH AVAIATION,AERO COACH AVAIATION,AERO COACH AVAIATION,Airlines,SÍ
3288,Airlines,Airlines,,Airlines,SÍ
3289,Airlines,Airlines,,Airlines,SÍ
3290,Airlines,Airlines,,Airlines,SÍ
3291,ARIANA AFGHAN,ARIANA AFGHAN,ARIANA AFGHAN,Airlines,SÍ
3292,CYPRUS AIRWAYS,CYPRUS AIRWAYS,CYPRUS AIRWAYS,Airlines,SÍ
3293,ECUATORIANA,ECUATORIANA,ECUATORIANA,Airlines,SÍ
3294,ETHIOPIAN AIRLINES,ETHIOPIAN AIRLINES,ETHIOPIAN AIRLINES,Airlines,SÍ
3295,KENYA AIRLINES,KENYA AIRLINES,KENYA AIRLINES,Airlines,SÍ
3296,Airlines,Airlines,,Airlines,SÍ
3297,Airlines,Airlines,,Airlines,SÍ
3298,AIR MAURITIUS,AIR MAURITIUS,AIR MAURITIUS,Airlines,SÍ
3299,WIDERO’S FLYVESELSKAP,WIDERO’S FLYVESELSKAP,WIDERO’S FLYVESELSKAP,Airlines,SÍ
3351,AFFILIATED AUTO RENTAL,AFFILIATED AUTO RENTAL,AFFILIATED AUTO RENTAL,Car Rental,SÍ
3352,AMERICAN INTL RENT-A-CAR,AMERICAN INTL RENT-A-CAR,AMERICAN INTL RENT-A-CAR,Car Rental,SÍ
3353,BROOKS RENT-A-CAR,BROOKS RENT-A-CAR,BROOKS RENT-A-CAR,Car Rental,SÍ
3354,ACTION AUTO RENTAL,ACTION AUTO RENTAL,ACTION AUTO RENTAL,Car Rental,SÍ
3355,Car Rental,Car Rental,,Car Rental,SÍ
3356,Car Rental,Car Rental,,Car Rental,SÍ
3357,HERTZ RENT-A-CAR,HERTZ RENT-A-CAR,HERTZ RENT-A-CAR,Car Rental,SÍ
3358,Car Rental,Car Rental,,Car Rental,SÍ
3359,PAYLESS CAR RENTAL,PAYLESS CAR RENTAL,PAYLESS CAR RENTAL,Car Rental,SÍ
3360,SNAPPY CAR RENTAL,SNAPPY CAR RENTAL,SNAPPY CAR RENTAL,Car Rental,SÍ
3361,AIRWAYS RENT-A-CAR,AIRWAYS RENT-A-CAR,AIRWAYS RENT-A-CAR,Car Rental,SÍ
3362,ALTRA AUTO RENTAL,ALTRA AUTO RENTAL,ALTRA AUTO RENTAL,Car Rental,SÍ
